Ad-blocked,Cookies,Countries,Domains,HTTPS,IPs,IPv6,JSGlobalVar,Malicious,No-class Tags,OutGoingLinks,Requests,Size,Subdomains,Tags,Title,Transfer,URL,UUID,a,class Tags,div,external_script,folder,form,hash_value,httponly,iframe,img,input,internal_script,label,script,secure,sensitive,session,session & httponly,source,textarea,span,button,sensitive_case1,sensitive_case2,sensitive_case3,sensitive_case5,sensitive_case6,sensitive_case4
0.0,6.0,4.0,14.0,48.0,13.0,71.0,38.0,0.0,277.0,14.0,52.0,3469.0,16.0,349.0,Instagram,1270.0,http://support-team1.000webhostapp.com/,1815bdd8-37cb-4950-8cdd-9ac7f159c07f,15.0,72.0,34.0,21.0,20200829.0,1.0,08f8d4c8165affe86e890030717f08d26b859ee1,0.0,1.0,9.0,2.0,6.0,1.0,27.0,0.0,1.0,0.0,0.0,PT,0.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,
0.0,2.0,2.0,6.0,50.0,8.0,57.0,38.0,0.0,388.0,16.0,16.0,902.0,7.0,556.0,Facebook - Inicia sesiÃ³n o regÃ­strate,620.0,http://recltamientosparelax.000webhostapp.com/,173adf7c-247e-47bf-bf49-129159459c13,52.0,168.0,102.0,3.0,20200829.0,2.0,fe6104716e93b23852337a5869cda9f7f9e7f80e,0.0,1.0,5.0,40.0,16.0,1.0,19.0,0.0,1.0,0.0,0.0,PT,0.0,16.0,2.0,1.0,0.0,0.0,0.0,1.0,
0.0,2.0,1.0,4.0,57.0,5.0,40.0,31.0,0.0,37.0,5.0,7.0,286.0,5.0,47.0, Please Log in Your Facebook ,85.0,http://fbvotecontestsitebuisnsupport-uk.000webhostapp.com/,78107cb9-4dab-4a56-81dd-99bcd4ae3f6d,5.0,10.0,7.0,2.0,20200829.0,1.0,91289832ac45932436f1afd4222dfa598a9544e4,0.0,0.0,2.0,3.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,PT,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,
0.0,2.0,1.0,4.0,57.0,5.0,40.0,31.0,0.0,37.0,5.0,7.0,302.0,5.0,47.0, Please Log in Your Facebook ,102.0,http://fbvotebuisnescontestsiteforsupport-uk.000webhostapp.com/,bdf6d4d9-4d5d-4ab3-913f-3304f95e1beb,5.0,10.0,7.0,2.0,20200829.0,1.0,91289832ac45932436f1afd4222dfa598a9544e4,0.0,0.0,2.0,3.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,PT,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,
0.0,2.0,2.0,7.0,78.0,8.0,63.0,31.0,0.0,43.0,2.0,9.0,289.0,10.0,97.0,Facebook â€“ log in or sign up,84.0,http://sexyphoto246.000webhostapp.com/,ae7ddeba-1bc9-4cc8-93ea-48978f8a1888,10.0,54.0,28.0,2.0,20200829.0,1.0,ceed42332948e17d4102f4f781278eabaac4c3d9,0.0,0.0,5.0,9.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,PT,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,
0.0,0.0,1.0,1.0,0.0,1.0,100.0,1.0,0.0,101.0,44.0,10.0,958.0,1.0,169.0,Facebook â€“ log in or sign up,287.0,http://jasminne43gropo.000webhostapp.com/,0dfd264f-e60c-409c-afc0-066e7261a3d8,48.0,68.0,38.0,0.0,20200829.0,1.0,fa35534c09844fae021c4711b2a4cbcf484f5a60,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,PT,0.0,8.0,1.0,1.0,0.0,0.0,0.0,1.0,
0.0,2.0,2.0,5.0,50.0,6.0,50.0,33.0,0.0,235.0,15.0,10.0,616.0,6.0,294.0,Login â€¢ Instagram,224.0,http://instaverivy.000webhostapp.com/,2aa0c41d-f2fc-4390-a167-3e0284b9b212,15.0,59.0,18.0,4.0,20200829.0,1.0,af0f2ac304c1ed7467e010676929b4a19d8cef45,0.0,0.0,1.0,2.0,4.0,1.0,8.0,0.0,1.0,0.0,0.0,PT,0.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,
0.0,2.0,2.0,7.0,78.0,8.0,63.0,31.0,0.0,43.0,2.0,9.0,289.0,10.0,97.0,Facebook â€“ log in or sign up,84.0,http://sexyphoto245.000webhostapp.com/,1aa8690d-eaed-48e8-9394-35ec94139646,10.0,54.0,28.0,2.0,20200829.0,1.0,ceed42332948e17d4102f4f781278eabaac4c3d9,0.0,0.0,5.0,9.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,PT,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,
0.0,0.0,1.0,4.0,88.0,5.0,40.0,31.0,0.0,36.0,3.0,8.0,460.0,6.0,92.0,Facebook - ÄÄƒng nháº­p hoáº·c Ä‘Äƒng kÃ½,164.0,http://nhanquasukienuquw.000webhostapp.com/login/,e50a9a77-ba11-43e8-a24e-a4cdfbb7e750,11.0,56.0,46.0,2.0,20200829.0,1.0,f46c78b93557d92d5bb3102796f7fa5fbca4b519,0.0,0.0,2.0,2.0,3.0,1.0,5.0,0.0,1.0,0.0,0.0,PT,0.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,
0.0,2.0,1.0,4.0,67.0,5.0,40.0,31.0,0.0,50.0,1.0,6.0,286.0,5.0,83.0,Facebook - Masuk atau Daftar,83.0,http://liker-pro.000webhostapp.com/,01960730-e0dc-4b57-b2a4-4f3c8a838a61,5.0,33.0,18.0,2.0,20200829.0,1.0,5a25a9fafc4d247db32948796862d4e70351c606,0.0,0.0,2.0,14.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,PT,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,
